	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																				
	(0.536)	(0.113)	(0.101)	(0.1000)	(1.103)	(0.320)	(0.264)	(0.265)	(0.667)	(0.276)	(0.233)	(0.227)	(4,907)	(0.271)	(0.233)	(0.229)	(0.823)	(0.308)	(0.269)	(0.261)
yearc66	-1.124**	-0.739***	-0.879***	-0.782***	-1.780	-0.724**	-0.855***	-0.789***	-1.475**	-0.672**	-1.014***	-0.875***	0.0994	-0.806***	-1.041***	-0.893***	-2.664***	-0.727**	-0.885***	-0.764***
	(0.536)	(0.113)	(0.101)	(0.0997)	(1.103)	(0.320)	(0.263)	(0.264)	(0.667)	(0.275)	(0.233)	(0.227)	(4,907)	(0.271)	(0.233)	(0.229)	(0.823)	(0.308)	(0.268)	(0.261)
yearc67	-1.102**	-0.730***	-0.854***	-0.751***	-1.802	-0.807**	-0.895***	-0.816***	-1.417**	-0.621**	-0.974***	-0.826***	0.138	-0.766***	-1.020***	-0.861***	-2.611***	-0.658**	-0.827***	-0.697***
	(0.536)	(0.113)	(0.101)	(0.0995)	(1.103)	(0.319)	(0.261)	(0.261)	(0.667)	(0.275)	(0.232)	(0.226)	(4,907)	(0.271)	(0.233)	(0.229)	(0.823)	(0.308)	(0.268)	(0.261)
yearc68	-0.998*	-0.636***	-0.755***	-0.650***	-1.703	-0.679**	-0.758***	-0.679***	-1.343**	-0.544**	-0.905***	-0.752***	0.227	-0.686**	-0.950***	-0.793***	-2.519***	-0.584*	-0.770***	-0.643**
	(0.536)	(0.113)	(0.101)	(0.0995)	(1.103)	(0.319)	(0.262)	(0.262)	(0.667)	(0.275)	(0.232)	(0.226)	(4,907)	(0.271)	(0.233)	(0.229)	(0.823)	(0.308)	(0.268)	(0.261)
yearc69	-0.991*	-0.644***	-0.743***	-0.636***	-1.707	-0.718**	-0.758***	-0.685***	-1.341**	-0.566**	-0.881***	-0.734***	0.239	-0.685**	-0.942***	-0.786***	-2.534***	-0.603*	-0.807***	-0.681***
	(0.536)	(0.113)	(0.101)	(0.0994)	(1.103)	(0.319)	(0.260)	(0.260)	(0.667)	(0.275)	(0.232)	(0.226)	(4,907)	(0.271)	(0.233)	(0.228)	(0.823)	(0.308)	(0.268)	(0.260)
yearc70	-0.993*	-0.646***	-0.791***	-0.691***	-1.716	-0.757**	-0.828***	-0.759***	-1.343**	-0.564**	-0.944***	-0.803***	0.225	-0.696**	-1.011***	-0.863***	-2.526***	-0.597*	-0.824***	-0.705***
	(0.536)	(0.113)	(0.100)	(0.0992)	(1.103)	(0.318)	(0.259)	(0.259)	(0.667)	(0.275)	(0.232)	(0.225)	(4,907)	(0.271)	(0.232)	(0.228)	(0.823)	(0.308)	(0.268)	(0.260)
yearc71	-1.003*	-0.683***	-0.824***	-0.722***	-1.716	-0.808**	-0.852***	-0.789***	-1.358**	-0.616**	-0.977***	-0.833***	0.205	-0.741***	-1.020***	-0.879***	-2.538***	-0.629**	-0.830***	-0.719***
	(0.536)	(0.113)	(0.100)	(0.0991)	(1.103)	(0.318)	(0.258)	(0.258)	(0.667)	(0.275)	(0.231)	(0.225)	(4,907)	(0.271)	(0.232)	(0.228)	(0.823)	(0.308)	(0.268)	(0.260)
yearc72	-0.975*	-0.653***	-0.819***	-0.722***	-1.722	-0.836***	-0.888***	-0.820***	-1.338**	-0.608**	-0.979***	-0.842***	0.234	-0.726***	-1.029***	-0.886***	-2.534***	-0.626**	-0.854***	-0.745***
	(0.536)	(0.113)	(0.100)	(0.0990)	(1.103)	(0.318)	(0.257)	(0.257)	(0.667)	(0.275)	(0.231)	(0.224)	(4,907)	(0.271)	(0.232)	(0.228)	(0.823)	(0.308)	(0.268)	(0.260)
yearc73	-0.999*	-0.711***	-0.804***	-0.707***	-1.721	-0.874***	-0.825***	-0.752***	-1.357**	-0.666**	-0.976***	-0.830***	0.198	-0.786***	-1.042***	-0.904***	-2.572***	-0.682**	-0.888***	-0.792***
	(0.536)	(0.113)	(0.100)	(0.0989)	(1.103)	(0.317)	(0.257)	(0.257)	(0.667)	(0.275)	(0.231)	(0.224)	(4,907)	(0.271)	(0.232)	(0.228)	(0.823)	(0.308)	(0.268)	(0.260)
yearc74	-1.026*	-0.741***	-0.767***	-0.675***	-1.710	-0.917***	-0.765***	-0.718***	-1.362**	-0.710***	-0.917***	-0.788***	0.174	-0.835***	-0.994***	-0.869***	-2.617***	-0.745**	-0.867***	-0.777***
	(0.536)	(0.113)	(0.100)	(0.0990)	(1.103)	(0.318)	(0.257)	(0.256)	(0.667)	(0.275)	(0.231)	(0.224)	(4,907)	(0.271)	(0.232)	(0.228)	(0.823)	(0.308)	(0.268)	(0.260)
yearc75	-1.046*	-0.770***	-0.800***	-0.717***	-1.703	-0.956***	-0.822***	-0.772***	-1.381**	-0.756***	-0.970***	-0.845***	0.164	-0.863***	-1.035***	-0.903***	-2.632***	-0.773**	-0.889***	-0.798***
	(0.536)	(0.113)	(0.100)	(0.0990)	(1.104)	(0.318)	(0.257)	(0.255)	(0.667)	(0.275)	(0.231)	(0.224)	(4,907)	(0.271)	(0.233)	(0.228)	(0.823)	(0.308)	(0.268)	(0.260)
yearc76	-1.099**	-0.840***	-0.873***	-0.795***	-1.776	-1.041***	-0.931***	-0.888***	-1.430**	-0.831***	-1.036***	-0.928***	0.111	-0.921***	-1.076***	-0.962***	-2.672***	-0.818***	-0.901***	-0.824***
	(0.536)	(0.113)	(0.101)	(0.0993)	(1.104)	(0.318)	(0.257)	(0.256)	(0.668)	(0.275)	(0.232)	(0.225)	(4,907)	(0.272)	(0.233)	(0.229)	(0.824)	(0.308)	(0.269)	(0.261)
yearc77	-1.100**	-0.871***	-0.859***	-0.782***	-1.763	-1.043***	-0.878***	-0.843***	-1.417**	-0.846***	-1.011***	-0.887***	0.105	-0.967***	-1.072***	-0.945***	-2.704***	-0.854***	-0.879***	-0.786***
	(0.536)	(0.113)	(0.101)	(0.0994)	(1.104)	(0.318)	(0.257)	(0.256)	(0.668)	(0.276)	(0.232)	(0.225)	(4,907)	(0.272)	(0.233)	(0.229)	(0.824)	(0.309)	(0.269)	(0.261)
yearc78	-1.094**	-0.885***	-0.778***	-0.708***	-1.775	-1.136***	-0.854***	-0.835***	-1.420**	-0.884***	-0.938***	-0.832***	0.119	-0.962***	-1.000***	-0.894***	-2.679***	-0.856***	-0.828***	-0.749***
	(0.536)	(0.114)	(0.101)	(0.0992)	(1.104)	(0.319)	(0.257)	(0.256)	(0.668)	(0.276)	(0.232)	(0.225)	(4,907)	(0.272)	(0.233)	(0.229)	(0.824)	(0.309)	(0.269)	(0.261)
